signal_index,signal_time,entry_index,entry_time,exit_index,exit_time,direction,entry,stop,target,exit_price,gross_r,cost_r,net_r,outcome,structure_key,symbol_metadata_version,spread_price,spread_points,spread_pips,entry_slippage_price,exit_slippage_price,slippage_price_round_trip,commission_usd_round_turn,commission,spread_r,slippage_r,commission_r,swap_r,price_cost_round_trip,total_cost,total_cost_r,partial_taken,break_even_activated,ambiguous_bar,unresolved_open_position,management_events,experiment_id,strategy_id,strategy_version,symbol
446,2025-06-24 12:05,447,2025-06-24 12:10,449,2025-06-24 12:20,long,1.15976,1.1591,1.16108,1.16108,1.5,0.469697,1.030303,TARGET,ST-C1|1.0.0|EURUSD|long|sweep@2025-06-24 08:40@1.16014|poi@bullish_order_block@2025-06-24 11:55@1.15918@1.15948|confirm@2025-06-24 12:05|choch@2025-06-24 12:05@1.15881,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3787878788,0.0909090909,0.0,0.0,0.00031,0.00031,0.4696969697,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15976, 'bar': 1})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
666,2025-06-25 06:25,667,2025-06-25 06:30,670,2025-06-25 06:45,long,1.16216,1.16177,1.16295,1.16177,-1.0,0.794872,-1.794872,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-06-25 05:45@1.16201|poi@bullish_order_block@2025-06-25 06:15@1.16181@1.16199|confirm@2025-06-25 06:25|choch@2025-06-25 06:25@1.16168,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.641025641,0.1538461538,0.0,0.0,0.00031,0.00031,0.7948717949,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
1322,2025-06-27 13:05,1323,2025-06-27 13:10,1324,2025-06-27 13:15,long,1.17124,1.17053,1.17266,1.17053,-1.0,0.43662,-1.43662,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-06-27 12:50@1.17048|poi@bullish_order_block@2025-06-27 12:35@1.17059@1.17075|confirm@2025-06-27 13:05|choch@2025-06-27 13:05@1.17043,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3521126761,0.0845070423,0.0,0.0,0.00031,0.00031,0.4366197183,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
1596,2025-06-30 11:55,1597,2025-06-30 12:00,1604,2025-06-30 12:35,long,1.17283,1.17195,1.1746,1.17195,-1.0,0.352273,-1.352273,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-06-30 11:25@1.17169|poi@bullish_order_block@2025-06-30 11:45@1.17203@1.17249|confirm@2025-06-30 11:55|choch@2025-06-30 11:55@1.17129,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.2840909091,0.0681818182,0.0,0.0,0.00031,0.00031,0.3522727273,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
1614,2025-06-30 13:25,1615,2025-06-30 13:30,1632,2025-06-30 14:55,long,1.17225,1.1716,1.17356,1.17225,0.5,0.476923,0.023077,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-06-30 11:25@1.17169|poi@bullish_order_block@2025-06-30 13:15@1.17166@1.17191|confirm@2025-06-30 13:25|choch@2025-06-30 13:25@1.17160,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3846153846,0.0923076923,0.0,0.0,0.00031,0.00031,0.4769230769,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 10}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 10}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17225, 'bar': 10})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
1813,2025-07-01 06:00,1814,2025-07-01 06:05,1846,2025-07-01 08:45,long,1.17891,1.17816,1.18041,1.17816,-1.0,0.413333,-1.413333,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-01 02:25@1.17839|poi@bullish_order_block@2025-07-01 05:40@1.17820@1.17845|confirm@2025-07-01 06:00|choch@2025-07-01 06:00@1.17772,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3333333333,0.08,0.0,0.0,0.00031,0.00031,0.4133333333,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
1901,2025-07-01 13:20,1902,2025-07-01 13:25,1942,2025-07-01 16:45,short,1.18111,1.18239,1.17855,1.18111,0.5,0.242188,0.257812,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-01 12:25@1.18168|poi@bearish_order_block@2025-07-01 13:10@1.18172@1.18229|confirm@2025-07-01 13:20|choch@2025-07-01 13:20@1.18229,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.1953125,0.046875,0.0,0.0,0.00031,0.00031,0.2421875,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 35}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 35}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.18111, 'bar': 35})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
2422,2025-07-03 08:45,2423,2025-07-03 08:50,2430,2025-07-03 09:25,long,1.17926,1.17858,1.18062,1.17926,0.5,0.455882,0.044118,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-03 08:35@1.17870|poi@bullish_order_block@2025-07-03 08:35@1.17861@1.17884|confirm@2025-07-03 08:45|choch@2025-07-03 08:45@1.17861,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3676470588,0.0882352941,0.0,0.0,0.00031,0.00031,0.4558823529,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17926, 'bar': 3})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
3048,2025-07-07 12:55,3049,2025-07-07 13:00,3054,2025-07-07 13:25,long,1.17334,1.17275,1.17452,1.17275,-1.0,0.525424,-1.525424,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-07 11:25@1.17345|poi@bullish_order_block@2025-07-07 12:50@1.17281@1.17305|confirm@2025-07-07 12:55|choch@2025-07-07 12:55@1.17216,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.4237288136,0.1016949153,0.0,0.0,0.00031,0.00031,0.5254237288,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
3071,2025-07-07 14:50,3072,2025-07-07 14:55,3075,2025-07-07 15:10,long,1.17311,1.17245,1.17443,1.17245,-1.0,0.469697,-1.469697,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-07 11:25@1.17345|poi@bullish_order_block@2025-07-07 14:35@1.17249@1.17280|confirm@2025-07-07 14:50|choch@2025-07-07 14:50@1.17244,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3787878788,0.0909090909,0.0,0.0,0.00031,0.00031,0.4696969697,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
